,T_Dataset,T_Stride,T_Epochs,T_Dataset2,T_Stride2,T_Epochs2,A_Depth,A_Repetitions,A_InitChannels,T_DataAug,A_MSUpsampling,A_ASPP,A_HyperDense,A_Module,T_Loss,T_Optimizer,A_DropoutRate,A_LvlGrowth,A_Strategy,T_LearningRate,A_KernelInitializer,T_BatchSize,A_KernelSize,A_OutChannels,A_MaxPooling,P_ElementSize,D_MaxSize,D_fs,T_Window,T_Seed,T_LRPatience,T_Patience,T_ValidationSplit
-2,automatic,1024,100,manual0,64,20,5,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
-1,manual0,64,5,,,,2,3,2,FALSE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0.2,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,manual0,64,250,,,,4,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
1,manual0,64,250,,,,5,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
2,manual0,64,250,,,,6,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
3,manual0,64,250,,,,7,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
4,manual0,64,250,,,,5,2,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
5,manual0,64,250,,,,5,4,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
6,manual0,64,250,,,,5,3,16,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
7,manual0,64,250,,,,5,3,64,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
8,manual0,64,250,,,,5,3,32,FALSE,FALSE,FALSE,FALSE,residual,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
9,manual0,64,250,,,,5,3,32,FALSE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
10,manual0,64,250,,,,5,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,32,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
11,manual0,64,250,,,,5,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,128,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
12,manual0,64,250,,,,5,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,256,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
13,manual0,64,250,,,,5,3,32,TRUE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
14,manual0,64,250,,,,5,3,32,FALSE,TRUE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
15,manual0,64,250,,,,5,3,32,FALSE,FALSE,TRUE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
16,manual0,64,250,,,,5,3,32,FALSE,FALSE,FALSE,TRUE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,manual0,64,250,,,,4,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
18,manual0,64,250,,,,5,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
19,manual0,64,250,,,,6,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
20,manual0,64,250,,,,7,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
21,manual0,64,250,,,,5,2,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
22,manual0,64,250,,,,5,4,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
23,manual0,64,250,,,,5,3,16,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
24,manual0,64,250,,,,5,3,64,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
25,manual0,64,250,,,,5,3,32,FALSE,FALSE,FALSE,FALSE,residual,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
26,manual0,64,250,,,,5,3,32,FALSE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
27,manual0,64,250,,,,5,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,32,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
28,manual0,64,250,,,,5,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,128,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
29,manual0,64,250,,,,5,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,256,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
30,manual0,64,250,,,,5,3,32,TRUE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
31,manual0,64,250,,,,5,3,32,FALSE,TRUE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
32,manual0,64,250,,,,5,3,32,FALSE,FALSE,TRUE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
33,manual0,64,250,,,,5,3,32,FALSE,FALSE,FALSE,TRUE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,automatic,1024,250,manual0,64,50,4,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
35,automatic,1024,250,manual0,64,50,5,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
36,automatic,1024,250,manual0,64,50,6,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
37,automatic,1024,250,manual0,64,50,7,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
38,automatic,1024,250,manual0,64,50,5,2,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
39,automatic,1024,250,manual0,64,50,5,4,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
40,automatic,1024,250,manual0,64,50,5,3,16,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
41,automatic,1024,250,manual0,64,50,5,3,64,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
42,automatic,1024,250,manual0,64,50,5,3,32,FALSE,FALSE,FALSE,FALSE,residual,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
43,automatic,1024,250,manual0,64,50,5,3,32,FALSE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
44,automatic,1024,250,manual0,64,50,5,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,32,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
45,automatic,1024,250,manual0,64,50,5,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,128,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
46,automatic,1024,250,manual0,64,50,5,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,256,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
47,automatic,1024,250,manual0,64,50,5,3,32,TRUE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
48,automatic,1024,250,manual0,64,50,5,3,32,FALSE,TRUE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
49,automatic,1024,250,manual0,64,50,5,3,32,FALSE,FALSE,TRUE,FALSE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
50,automatic,1024,250,manual0,64,50,5,3,32,FALSE,FALSE,FALSE,TRUE,vanilla,jaccard,Adam,0,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,automatic,1024,250,manual0,64,50,4,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
52,automatic,1024,250,manual0,64,50,5,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
53,automatic,1024,250,manual0,64,50,6,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
54,automatic,1024,250,manual0,64,50,7,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
55,automatic,1024,250,manual0,64,50,5,2,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
56,automatic,1024,250,manual0,64,50,5,4,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
57,automatic,1024,250,manual0,64,50,5,3,16,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
58,automatic,1024,250,manual0,64,50,5,3,64,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
59,automatic,1024,250,manual0,64,50,5,3,32,FALSE,FALSE,FALSE,FALSE,residual,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
60,automatic,1024,250,manual0,64,50,5,3,32,FALSE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
61,automatic,1024,250,manual0,64,50,5,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,32,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
62,automatic,1024,250,manual0,64,50,5,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,128,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
63,automatic,1024,250,manual0,64,50,5,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,256,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
64,automatic,1024,250,manual0,64,50,5,3,32,TRUE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
65,automatic,1024,250,manual0,64,50,5,3,32,FALSE,TRUE,FALSE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
66,automatic,1024,250,manual0,64,50,5,3,32,FALSE,FALSE,TRUE,FALSE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
67,automatic,1024,250,manual0,64,50,5,3,32,FALSE,FALSE,FALSE,TRUE,vanilla,jaccard,Adam,0,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,manual0,64,250,,,,2,1,32,TRUE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
69,manual0,64,250,,,,2,2,32,TRUE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
70,manual0,64,250,,,,2,3,32,TRUE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
71,manual0,64,250,,,,2,4,32,TRUE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
72,manual0,64,250,,,,2,5,32,TRUE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
73,manual0,64,250,,,,2,6,32,TRUE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
74,manual0,64,250,,,,3,1,32,TRUE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
75,manual0,64,250,,,,3,2,32,TRUE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
76,manual0,64,250,,,,3,3,32,TRUE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
77,manual0,64,250,,,,3,4,32,TRUE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
78,manual0,64,250,,,,3,5,32,TRUE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
79,manual0,64,250,,,,3,6,32,TRUE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
80,manual0,64,250,,,,4,1,32,TRUE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
81,manual0,64,250,,,,4,2,32,TRUE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
82,manual0,64,250,,,,4,3,32,TRUE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
83,manual0,64,250,,,,4,4,32,TRUE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
84,manual0,64,250,,,,4,5,32,TRUE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
85,manual0,64,250,,,,4,6,32,TRUE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
86,manual0,64,250,,,,3,3,32,TRUE,TRUE,FALSE,FALSE,xception,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
87,manual0,64,250,,,,3,3,32,TRUE,FALSE,TRUE,FALSE,xception,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
88,manual0,64,250,,,,3,3,32,TRUE,FALSE,FALSE,TRUE,xception,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,manual0,64,100,,,,4,4,32,TRUE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
90,manual0,64,100,,,,4,4,32,TRUE,FALSE,FALSE,FALSE,residual,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
91,manual0,64,100,,,,4,4,32,TRUE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
92,manual0,64,100,,,,4,4,32,TRUE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0.25,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
93,manual0,64,100,,,,4,4,32,TRUE,FALSE,FALSE,FALSE,residual,jaccard,Adam,0.25,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
94,manual0,64,100,,,,4,4,32,TRUE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0.25,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
95,automatic,1024,100,manual0,64,50,4,4,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
96,automatic,1024,100,manual0,64,50,4,4,32,FALSE,FALSE,FALSE,FALSE,residual,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
97,automatic,1024,100,manual0,64,50,4,4,32,FALSE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
98,automatic,1024,100,manual0,64,50,4,4,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0.25,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
